Country,Year,Begin,End,EDI before,EDI end,Type,Time,Original_regime,Region
Argentina,1928,1928,1931,0.53,0.12,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1929,1928,1931,0.53,0.12,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1930,1928,1931,0.53,0.12,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1931,1928,1931,0.53,0.12,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1966,1966,1967,0.53,0.1,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1967,1966,1967,0.53,0.1,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1975,1975,1977,0.57,0.07,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1976,1975,1977,0.57,0.07,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Argentina,1977,1975,1977,0.57,0.07,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Austria,1931,1931,1935,0.73,0.1,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Austria,1932,1931,1935,0.73,0.1,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Austria,1933,1931,1935,0.73,0.1,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Austria,1934,1931,1935,0.73,0.1,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Austria,1935,1931,1935,0.73,0.1,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Belgium,1914,1914,1915,0.58,0.18,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Belgium,1915,1914,1915,0.58,0.18,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Belgium,1940,1940,1941,0.57,0.13,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Belgium,1941,1940,1941,0.57,0.13,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Chile,1973,1973,1975,0.71,0.07,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Chile,1974,1973,1975,0.71,0.07,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Chile,1975,1973,1975,0.71,0.07,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Czech Republic,1930,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1931,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1932,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1933,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1934,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1935,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1936,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1937,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1938,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1939,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Czech Republic,1940,1930,1940,0.81,0.07,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Denmark,1940,1940,1944,0.87,0.21,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Denmark,1941,1940,1944,0.87,0.21,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Denmark,1942,1940,1944,0.87,0.21,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Denmark,1943,1940,1944,0.87,0.21,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Denmark,1944,1940,1944,0.87,0.21,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Estonia,1932,1932,1935,0.74,0.13,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Estonia,1933,1932,1935,0.74,0.13,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Estonia,1934,1932,1935,0.74,0.13,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Estonia,1935,1932,1935,0.74,0.13,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Fiji,1987,1987,1988,0.62,0.23,Military Coup,Pre-third Wave,Democracy,East Asia and Pacific
Fiji,1988,1987,1988,0.62,0.23,Military Coup,Pre-third Wave,Democracy,East Asia and Pacific
France,1939,1939,1941,0.56,0.09,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
France,1940,1939,1941,0.56,0.09,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
France,1941,1939,1941,0.56,0.09,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Germany,1930,1930,1934,0.63,0.08,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Germany,1931,1930,1934,0.63,0.08,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Germany,1932,1930,1934,0.63,0.08,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Germany,1933,1930,1934,0.63,0.08,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Germany,1934,1930,1934,0.63,0.08,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Ghana,1981,1981,1982,0.59,0.11,Military Coup,Pre-third Wave,Democracy,Sub-Saharan Africa
Ghana,1982,1981,1982,0.59,0.11,Military Coup,Pre-third Wave,Democracy,Sub-Saharan Africa
India,1971,1971,1975,0.7,0.43,Autogolpe,Pre-third Wave,Democracy,South Asia
India,1972,1971,1975,0.7,0.43,Autogolpe,Pre-third Wave,Democracy,South Asia
India,1973,1971,1975,0.7,0.43,Autogolpe,Pre-third Wave,Democracy,South Asia
India,1974,1971,1975,0.7,0.43,Autogolpe,Pre-third Wave,Democracy,South Asia
India,1975,1971,1975,0.7,0.43,Autogolpe,Pre-third Wave,Democracy,South Asia
Indonesia,1958,1958,1961,0.54,0.16,Autogolpe,Pre-third Wave,Democracy,East Asia and Pacific
Indonesia,1959,1958,1961,0.54,0.16,Autogolpe,Pre-third Wave,Democracy,East Asia and Pacific
Indonesia,1960,1958,1961,0.54,0.16,Autogolpe,Pre-third Wave,Democracy,East Asia and Pacific
Indonesia,1961,1958,1961,0.54,0.16,Autogolpe,Pre-third Wave,Democracy,East Asia and Pacific
Latvia,1934,1934,1935,0.74,0.13,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Latvia,1935,1934,1935,0.74,0.13,Autogolpe,Pre-third Wave,Democracy,Europe and Central Asia
Lithuania,1923,1923,1927,0.64,0.15,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Lithuania,1924,1923,1927,0.64,0.15,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Lithuania,1925,1923,1927,0.64,0.15,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Lithuania,1926,1923,1927,0.64,0.15,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Lithuania,1927,1923,1927,0.64,0.15,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Luxembourg,1940,1940,1941,0.7,0.14,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Luxembourg,1941,1940,1941,0.7,0.14,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Netherlands,1937,1937,1941,0.77,0.18,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Netherlands,1938,1937,1941,0.77,0.18,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Netherlands,1939,1937,1941,0.77,0.18,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Netherlands,1940,1937,1941,0.77,0.18,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Netherlands,1941,1937,1941,0.77,0.18,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Norway,1937,1937,1942,0.75,0.12,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Norway,1938,1937,1942,0.75,0.12,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Norway,1939,1937,1942,0.75,0.12,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Norway,1940,1937,1942,0.75,0.12,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Norway,1941,1937,1942,0.75,0.12,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Norway,1942,1937,1942,0.75,0.12,Invasion,Pre-third Wave,Democracy,Europe and Central Asia
Peru,1990,1990,1992,0.69,0.26,Autogolpe,Pre-third Wave,Democracy,Latin America and Caribbean
Peru,1991,1990,1992,0.69,0.26,Autogolpe,Pre-third Wave,Democracy,Latin America and Caribbean
Peru,1992,1990,1992,0.69,0.26,Autogolpe,Pre-third Wave,Democracy,Latin America and Caribbean
Poland,1926,1926,1931,0.64,0.23,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Poland,1927,1926,1931,0.64,0.23,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Poland,1928,1926,1931,0.64,0.23,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Poland,1929,1926,1931,0.64,0.23,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Poland,1930,1926,1931,0.64,0.23,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Poland,1931,1926,1931,0.64,0.23,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Spain,1936,1936,1940,0.58,0.07,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Spain,1937,1936,1940,0.58,0.07,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Spain,1938,1936,1940,0.58,0.07,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Spain,1939,1936,1940,0.58,0.07,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Spain,1940,1936,1940,0.58,0.07,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Sri Lanka,1977,1977,1983,0.62,0.48,Autogolpe,Pre-third Wave,Democracy,South Asia
Sri Lanka,1978,1977,1983,0.62,0.48,Autogolpe,Pre-third Wave,Democracy,South Asia
Sri Lanka,1979,1977,1983,0.62,0.48,Autogolpe,Pre-third Wave,Democracy,South Asia
Sri Lanka,1980,1977,1983,0.62,0.48,Autogolpe,Pre-third Wave,Democracy,South Asia
Sri Lanka,1981,1977,1983,0.62,0.48,Autogolpe,Pre-third Wave,Democracy,South Asia
Sri Lanka,1982,1977,1983,0.62,0.48,Autogolpe,Pre-third Wave,Democracy,South Asia
Sri Lanka,1983,1977,1983,0.62,0.48,Autogolpe,Pre-third Wave,Democracy,South Asia
Suriname,1980,1980,1981,0.78,0.18,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Suriname,1981,1980,1981,0.78,0.18,Military Coup,Pre-third Wave,Democracy,Latin America and Caribbean
Turkey,1977,1977,1981,0.65,0.12,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Turkey,1978,1977,1981,0.65,0.12,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Turkey,1979,1977,1981,0.65,0.12,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Turkey,1980,1977,1981,0.65,0.12,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Turkey,1981,1977,1981,0.65,0.12,Military Coup,Pre-third Wave,Democracy,Europe and Central Asia
Uruguay,1968,1968,1974,0.78,0.1,Autogolpe,Pre-third Wave,Democracy,Latin America and Caribbean
Uruguay,1969,1968,1974,0.78,0.1,Autogolpe,Pre-third Wave,Democracy,Latin America and Caribbean
Uruguay,1970,1968,1974,0.78,0.1,Autogolpe,Pre-third Wave,Democracy,Latin America and Caribbean
Uruguay,1971,1968,1974,0.78,0.1,Autogolpe,Pre-third Wave,Democracy,Latin America and Caribbean
Uruguay,1972,1968,1974,0.78,0.1,Autogolpe,Pre-third Wave,Democracy,Latin America and Caribbean
Uruguay,1973,1968,1974,0.78,0.1,Autogolpe,Pre-third Wave,Democracy,Latin America and Caribbean
Uruguay,1974,1968,1974,0.78,0.1,Autogolpe,Pre-third Wave,Democracy,Latin America and Caribbean
Armenia,1993,1993,1998,0.67,0.41,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Armenia,1994,1993,1998,0.67,0.41,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Armenia,1995,1993,1998,0.67,0.41,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Armenia,1996,1993,1998,0.67,0.41,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Armenia,1997,1993,1998,0.67,0.41,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Armenia,1998,1993,1998,0.67,0.41,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Bangladesh,2002,2002,2007,0.57,0.23,Military Coup,Third Wave,Democracy,South Asia
Bangladesh,2003,2002,2007,0.57,0.23,Military Coup,Third Wave,Democracy,South Asia
Bangladesh,2004,2002,2007,0.57,0.23,Military Coup,Third Wave,Democracy,South Asia
Bangladesh,2005,2002,2007,0.57,0.23,Military Coup,Third Wave,Democracy,South Asia
Bangladesh,2006,2002,2007,0.57,0.23,Military Coup,Third Wave,Democracy,South Asia
Bangladesh,2007,2002,2007,0.57,0.23,Military Coup,Third Wave,Democracy,South Asia
Belarus,1995,1995,2005,0.6,0.23,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Belarus,1996,1995,2005,0.6,0.23,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Belarus,1997,1995,2005,0.6,0.23,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Belarus,1998,1995,2005,0.6,0.23,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Belarus,1999,1995,2005,0.6,0.23,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Belarus,2000,1995,2005,0.6,0.23,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Belarus,2001,1995,2005,0.6,0.23,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Belarus,2002,1995,2005,0.6,0.23,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Belarus,2003,1995,2005,0.6,0.23,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Belarus,2004,1995,2005,0.6,0.23,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Belarus,2005,1995,2005,0.6,0.23,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Bolivia,2006,2006,2015,0.78,0.63,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Bolivia,2007,2006,2015,0.78,0.63,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Bolivia,2008,2006,2015,0.78,0.63,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Bolivia,2009,2006,2015,0.78,0.63,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Bolivia,2010,2006,2015,0.78,0.63,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Bolivia,2011,2006,2015,0.78,0.63,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Bolivia,2012,2006,2015,0.78,0.63,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Bolivia,2013,2006,2015,0.78,0.63,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Bolivia,2014,2006,2015,0.78,0.63,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Bolivia,2015,2006,2015,0.78,0.63,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Brazil,2012,2012,2017,0.89,0.75,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Brazil,2013,2012,2017,0.89,0.75,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Brazil,2014,2012,2017,0.89,0.75,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Brazil,2015,2012,2017,0.89,0.75,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Brazil,2016,2012,2017,0.89,0.75,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Brazil,2017,2012,2017,0.89,0.75,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Burkina Faso,2014,2014,2015,0.65,0.37,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Burkina Faso,2015,2014,2015,0.65,0.37,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Comoros,1999,1999,2000,0.5,0.23,Military Coup,Third Wave,Democracy,Sub-Saharan Africa
Comoros,2000,1999,2000,0.5,0.23,Military Coup,Third Wave,Democracy,Sub-Saharan Africa
Comoros,2015,2015,2017,0.61,0.46,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Comoros,2016,2015,2017,0.61,0.46,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Comoros,2017,2015,2017,0.61,0.46,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Croatia,2013,2013,2017,0.85,0.67,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Croatia,2014,2013,2017,0.85,0.67,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Croatia,2015,2013,2017,0.85,0.67,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Croatia,2016,2013,2017,0.85,0.67,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Croatia,2017,2013,2017,0.85,0.67,Democratic Erosion,Third Wave,Democracy,Europe and Central Asia
Dom. Rep.,2015,2015,2017,0.65,0.54,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Dom. Rep.,2016,2015,2017,0.65,0.54,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Dom. Rep.,2017,2015,2017,0.65,0.54,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Ecuador,2008,2008,2010,0.74,0.6,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Ecuador,2009,2008,2010,0.74,0.6,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Ecuador,2010,2008,2010,0.74,0.6,Democratic Erosion,Third Wave,Democracy,Latin America and Caribbean
Fiji,2000,2000,2001,0.63,0.27,Military Coup,Third Wave,Democracy,East Asia and Pacific
Fiji,2001,2000,2001,0.63,0.27,Military Coup,Third Wave,Democracy,East Asia and Pacific
Fiji,2006,2006,2009,0.59,0.15,Military Coup,Third Wave,Democracy,East Asia and Pacific
Fiji,2007,2006,2009,0.59,0.15,Military Coup,Third Wave,Democracy,East Asia and Pacific
Fiji,2008,2006,2009,0.59,0.15,Military Coup,Third Wave,Democracy,East Asia and Pacific
Fiji,2009,2006,2009,0.59,0.15,Military Coup,Third Wave,Democracy,East Asia and Pacific
Ghana,2012,2012,2017,0.77,0.64,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Ghana,2013,2012,2017,0.77,0.64,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Ghana,2014,2012,2017,0.77,0.64,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Ghana,2015,2012,2017,0.77,0.64,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Ghana,2016,2012,2017,0.77,0.64,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Ghana,2017,2012,2017,0.77,0.64,Democratic Erosion,Third Wave,Democracy,Sub-Saharan Africa
Honduras,2009,2009,2010,0.58,0.46,Military Coup,Third Wave,Democracy,Latin America and Caribbean
Honduras,2010,2009,2010,0.58,0.46,Military Coup,Third Wave,Democracy,Latin America and Caribbean
